gram_size,복합명사,빈도
2,상임_안무,86
2,문화_유산,86
2,문화_운동,86
2,댄서_몸,86
2,장기_공연,86
4,춤_비평가_상_베스트,85
2,기립_박수,85
2,홍보_마케팅,85
2,아트_마켓,85
2,솔로_듀엣,85
2,학교_졸업,85
2,운영_위원,85
2,춤_동향,85
2,굿거리_춤,85
3,상호_교류_해,84
3,안무_경연_대회,84
2,소외_계층,84
2,다크서클즈_컨템포러리,84
2,조회_수,84
2,솔로_이스트,84
3,무용_협회_한국,84
2,재단_법인,84
2,관계_형성,84
2,단체_육성,84
2,직업_발레단,84
2,참가_단체,84
2,전통_민속,84
2,국제_행사,84
2,시민_문화,84
2,예술인_지원,84
2,참여_예술가,84
2,몸_기억,84
2,발레_레퍼토리,84
3,다크서클즈_컨템포러리_댄스,83
3,프로_시니어_무대,83
2,인터_미션,83
2,가야금_산조,83
2,과학_기술,83
2,콘텐츠_개발,83
2,예술_자료원,83
2,감사_마음,83
2,대상_수상,83
2,시니어_무대,83
2,영상_디자인,83
2,환경_변화,83
2,사업_신청,83
2,기반_활동,83
4,서울_국제_댄스_페스티벌,82
2,손해_배상,82
2,대미_장식,82
3,민간_예술_단체,82
3,서울_국제_댄스,82
2,춤웹진_초이스,82
3,한국_무용_사,82
2,한국예술인복지재단_예술인,82
2,하늘_땅,82
2,관람_가,82
2,설치_물,82
2,목_토,82
2,장면_전환,82
2,동작_구성,82
4,인천_문화_예술_회관,81
3,금_오후_토,81
3,서울_시립_무용단,81
3,춤_전용_극장,81
3,창작_지원_사업,81
2,의상_소품,81
2,공식_초청,81
2,배정혜_선생,81
2,활동_증명,81
2,객원_안무가,81
2,기회_마련,81
2,대중_소통,81
2,민간_단체,81
2,국내_초연,81
2,역동_움직임,81
2,즉흥_전문,81
2,무용_학회,81
2,현실_세계,81
4,국제_무용_협회_한국,80
2,굿거리_장단,80
2,개관_기념,80
2,티켓_예매,80
2,소개_부탁,80
2,사업_일환,80
2,낭만_발레,80
2,문화_관광,80
3,공연_예술_단체,80
2,아트_프로젝트,80
2,신작_발표,80
2,발레단_단장,80
